Name,Type of Sell,Category,MRP,Best Price,Manufacturer
Navchetana Kendra Triphala Bowel Wellness Tablet,bottle of 60 tablets,"Ayurveda , Kidney Care , Stomach Care",?145,135,Navchetana Kendra Healthcare Pvt Ltd
Navchetana Kendra Tulsi Extract Tablet,bottle of 60 tablets,Ayurveda,?155,148,Navchetana Kendra Healthcare Pvt Ltd
Navgarh Desire Up Male Aphrodisiac Capsule,bottle of 30 capsules,"Men Performance Enhancers , Ayurveda , Sexual Wellness",?800,720,Mahhaguru Navgrah Private Ltd
Navgarh Fire Up Male Aphrodisiac Capsule,bottle of 30 capsules,"Musli (Vitality & Sexual Wellness) , Men Performance Enhancers , Ashwagandha (Immunity & Stress) , Sexual Wellness , Shilajit (Men Sexual Wellness) , Herbs , Ayurveda",?900,819,Mahhaguru Navgrah Private Ltd
Navgarh Slim Up Capsule,bottle of 30 capsules,"Ayurveda , Weight Management",?700,630,Mahhaguru Navgrah Private Ltd
Navgarh Tone Up Capsule,bottle of 30 capsules,"Ayurveda , Weight Management , Herbs",?700,630,Mahhaguru Navgrah Private Ltd
Navgarh Vigour Up Capsule,bottle of 30 capsules,"Men Performance Enhancers , Ginseng (Improves Cognition) , Sexual Wellness , Ayurveda , Speciality Supplements , Herbs",?900,810,Mahhaguru Navgrah Private Ltd
Navgrah Diabcure M Diabetes Capsule (Morning Capsule),bottle of 30 capsules,Ayurveda,700,700,Mahhaguru Navgrah Private Ltd
Navgrah Diabcure N Diabetes Capsule (Evening Capsule),bottle of 30 capsules,Ayurveda,700,700,Mahhaguru Navgrah Private Ltd
Navgrah Fboost Up Capsule,bottle of 30 capsules,Ayurveda,600,600,Mahhaguru Navgrah Private Ltd
Navgrah Health Up Capsule,bottle of 30 capsules,Immunity Boosters,650,650,Mahhaguru Navgrah Private Ltd
Navgrah Immunity Builder Drop,bottle of 10 ml Drop,"Ashwagandha (Immunity & Stress) , Turmeric , Herbs , Immunity Boosters , Ayurveda",?200,180,Mahhaguru Navgrah Private Ltd
Navgrah Immunity Builder Drop,bottle of 30 ml Drop,"Herbs , Ayurveda , Ashwagandha (Immunity & Stress) , Turmeric , Immunity Boosters",?499,449,Mahhaguru Navgrah Private Ltd
